North Garden,"22,959",VA,Albemarle,37.93,-78.64
Scottsville,"24,590",VA,Albemarle,37.80,-78.47
White Hall,"22,987",VA,Albemarle,38.12,-78.66
Barton City,"48,705",MI,Alcona,44.70,-83.60
Black River,"48,721",MI,Alcona,44.81,-83.34
Curran,"48,728",MI,Alcona,44.73,-83.83
Glennie,"48,737",MI,Alcona,44.56,-83.69
Greenbush,"48,738",MI,Alcona,44.55,-83.33
Harrisville,"48,740",MI,Alcona,44.65,-83.34
Lincoln,"48,742",MI,Alcona,44.71,-83.39
Mikado,"48,745",MI,Alcona,44.58,-83.44
Spruce,"48,762",MI,Alcona,44.82,-83.50
Corinth,"38,834",MS,Alcorn,34.88,-88.59
Corinth,"38,835",MS,Alcorn,34.92,-88.52
Glen,"38,846",MS,Alcorn,34.88,-88.44
Rienzi,"38,865",MS,Alcorn,34.80,-88.58
Akutan,"99,553",AK,Aleutians East,54.14,-165.79
Cold Bay,"99,571",AK,Aleutians East,55.19,-162.72
False Pass,"99,583",AK,Aleutians East,54.84,-163.44
King Cove,"99,612",AK,Aleutians East,55.06,-162.31
Sand Point,"99,661",AK,Aleutians East,55.32,-160.49
Adak,"99,546",AK,Aleutians West (CA),51.88,-176.66
Atka,"99,547",AK,Aleutians West (CA),52.12,-174.43
Dutch Harbor,"99,692",AK,Aleutians West (CA),53.89,-166.54
Nikolski,"99,638",AK,Aleutians West (CA),52.99,-168.79
Saint George Island,"99,591",AK,Aleutians West (CA),56.59,-169.62
Saint Paul Island,"99,660",AK,Aleutians West (CA),57.18,-170.28
Unalaska,"99,685",AK,Aleutians West (CA),53.89,-166.52
Cairo,"62,914",IL,Alexander,37.01,-89.18
Hiddenite,"28,636",NC,Alexander,35.95,-81.05
